Points0,Points1,Points2,,intensity,filtered
107,192.6657264,117,,1070.902,0
97,192.6657264,104,,910.0278,0
114,192.6657264,93,,896.4568,0.4688
121,192.6657264,75,,1033.5714,0
178,192.6657264,153,,733.9826,0
148,192.6657264,176,,706.5888,0
7,192.6657264,178,,1039.9724,2.4276
2,192.6657264,168,,1057.2464,0
17,192.6657264,116,,1165.6194,0
31,192.6657264,41,,1066.8062,0
116,192.6657264,146,,755.7228,3.109
118,192.6657264,17,,951.5168,0
149,192.6657264,38,,816.9588,0
194,192.6657264,154,,843.0358,0
55,192.6657264,167,,758.0252,4.8678
59,192.6657264,96,,1076.7982,0
83,192.6657264,119,,899.9738,2.0356
111,192.6657264,175,,703.978,0
81,192.6657264,156,,621.2986,0
97,192.6657264,59,,1171.134,0
27,192.6657264,142,,887.2668,0
80,192.6657264,66,,1102.0998,0
70,192.6657264,124,,788.9054,0
61,192.6657264,26,,902.5564,2.1912
139,192.6657264,58,,1061.6356,2.3468
137,192.6657264,163,,740.7,0
169,192.6657264,131,,719.0714,0
0,192.6657264,127,,1212.3902,0.505
68,192.6657264,66,,845.0744,4.1744
52,192.6657264,144,,855.3614,0
183,192.6657264,94,,685.8082,0
57,192.6657264,61,,996.9668,3.5832
94,192.1015515,0,,1279.9556,0
174,192.1015515,8,,916.6416,0
97,192.1015515,5,,1205.1,0
103,192.1015515,27,,1241.4114,0
143,192.1015515,50,,1005.4696,0
163,192.1015515,70,,953.1078,0
162,192.1015515,95,,1149.2334,0
138,192.1015515,110,,1064.9256,0
107,192.1015515,117,,1072.663,1.761
97,192.1015515,104,,901.5928,0
114,192.1015515,93,,897.4792,1.0224
121,192.1015515,75,,1033.9858,0.4144
178,192.1015515,153,,726.0536,0
148,192.1015515,176,,697.311,0
7,192.1015515,178,,1039.5724,0
2,192.1015515,168,,1053.729,0
17,192.1015515,116,,1161.7308,0
31,192.1015515,41,,1057.8644,0
116,192.1015515,146,,751.8774,0
118,192.1015515,17,,947.6958,0
149,192.1015515,38,,810.5052,0
194,192.1015515,154,,831.9286,0
55,192.1015515,167,,755.8286,0
59,192.1015515,96,,1083.8392,7.041
83,192.1015515,119,,898.2238,0
111,192.1015515,175,,696.703,0
81,192.1015515,156,,617.901,0
97,192.1015515,59,,1163.1406,0
27,192.1015515,142,,887.1554,0
80,192.1015515,66,,1093.1644,0
70,192.1015515,124,,789.4734,0.568
61,192.1015515,26,,898.1362,0
139,192.1015515,58,,1054.2456,0
137,192.1015515,163,,738.9666,0
169,192.1015515,131,,712.617,0
0,192.1015515,127,,1216.882,4.4918
68,192.1015515,66,,842.1372,0
52,192.1015515,144,,851.4566,0
183,192.1015515,94,,679.7768,0
57,192.1015515,61,,987.0144,0
94,191.5373766,0,,1276.9612,0
174,191.5373766,8,,907.1,0
97,191.5373766,5,,1197.0688,0
103,191.5373766,27,,1234.1416,0
143,191.5373766,50,,993.2392,0
163,191.5373766,70,,952.5078,0
162,191.5373766,95,,1146.111,0
138,191.5373766,110,,1058.8228,0
107,191.5373766,117,,1069.3172,0
97,191.5373766,104,,898.9066,0
114,191.5373766,93,,892.8206,0
121,191.5373766,75,,1034.188,0.2022
178,191.5373766,153,,708.7364,0
148,191.5373766,176,,691.4776,0
7,191.5373766,178,,1036.7862,0
2,191.5373766,168,,1055.406,1.677
17,191.5373766,116,,1153.6884,0
31,191.5373766,41,,1054.1728,0
116,191.5373766,146,,748.4432,0
118,191.5373766,17,,942.7688,0
149,191.5373766,38,,803.1836,0
194,191.5373766,154,,825.9356,0
55,191.5373766,167,,755.35,0
59,191.5373766,96,,1075.9142,0
83,191.5373766,119,,897.2142,0
111,191.5373766,175,,696.3062,0
