Points0,Points1,Points2,cell,,,comm0,proc_300_cor7,proc_300_cor9,intensity
4.356,29.97001999,9.702,33,,,1,4,8,11058
4.587,29.97001999,11.781,34,,,0,4,8,11012
4.785,29.97001999,10.164,35,,,0,4,8,10744
4.917,29.97001999,11.22,36,,,0,4,8,11496
4.983,29.97001999,0.759,37,,,0,4,8,9022.5
5.016,29.97001999,5.412,38,,,0,4,8,10331
5.214,29.97001999,12.441,39,,,1,4,8,11139
5.313,29.97001999,11.715,40,,,0,4,8,11062
5.346,29.97001999,7.227,41,,,1,4,8,10936
5.478,29.97001999,10.725,42,,,0,4,8,12333
5.577,29.97001999,9.108,43,,,0,4,8,10893
5.709,29.97001999,4.158,44,,,0,4,8,9531.5
5.676,29.97001999,5.94,45,,,0,4,8,12307
5.775,29.97001999,4.62,46,,,0,4,8,9825
5.907,29.97001999,15.345,47,,,0,4,8,10800
6.006,29.97001999,7.953,48,,,0,4,8,10854
6.138,29.97001999,11.88,49,,,0,4,8,11775
6.072,29.97001999,4.983,50,,,1,4,8,11758
6.336,29.97001999,13.002,51,,,1,4,8,11610
6.567,29.97001999,4.587,52,,,0,4,8,10700
6.798,29.97001999,8.085,53,,,1,4,8,11452
6.666,29.97001999,3.234,54,,,0,4,8,10242
6.765,29.97001999,10.626,55,,,0,4,8,10918
6.831,29.97001999,14.091,56,,,0,4,8,10931
6.93,29.97001999,15.081,57,,,1,4,8,9500
7.095,29.97001999,3.234,58,,,0,4,8,10086
7.095,29.97001999,11.319,59,,,0,4,8,11025
7.326,29.97001999,5.775,60,,,0,4,8,10754
7.59,29.97001999,10.527,61,,,0,4,8,11378
7.722,29.97001999,8.184,62,,,1,4,8,10584
7.689,29.97001999,11.748,63,,,0,4,8,11315
7.689,29.97001999,16.401,64,,,1,4,8,8077.3
7.887,29.97001999,12.837,65,,,1,4,8,11227
8.085,29.97001999,4.62,66,,,0,4,8,9341.5
8.25,29.97001999,5.544,67,,,0,4,8,11723
8.415,29.97001999,7.392,68,,,1,4,8,11818
8.646,29.97001999,9.339,69,,,1,4,8,11096
8.547,29.97001999,8.217,70,,,0,4,8,11406
8.514,29.97001999,3.993,71,,,0,4,8,9320.5
8.712,29.97001999,1.716,72,,,0,4,8,8145.2
8.646,29.97001999,5.214,73,,,0,4,8,10457
9.075,29.97001999,7.491,74,,,0,4,68,12339
9.075,29.97001999,12.012,75,,,0,4,68,11753
