cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40
-16.2334,1.5334,-3.1312,-16.791,3.8358,-11.481,-10.089,-19.7084,-52.5144,-141.1782,-73.4552,-31.8668,-2.3576,-42.0194,-20.0784,-25.3788,-28.3,-67.2104,-21.341,-16.7334,-6.6598,-4.9642,-34.8536,-27.4374,-68.5714,-25.6874,-43.071,-18.8934,-37.679,-20.2866,-135.457,-49.319,-17.1088,-20.4928,-20.9316,-50.413,-21.5172,-88.2566,-23.8062,-56.6928
0.4888,-2.8362,7.2438,-25.0114,-12.1196,1.791,-7.5016,-21.5942,-30.9534,-111.6644,-73.331,-18.4906,0.8768,-18.4666,-8.6254,-18.8808,-14.5212,-46.975,-1.9182,1.725,-10.6846,-1.1572,-27.1072,-40.9126,-50.1096,-23.1312,-33.1012,-12.7016,-26.5838,-19.5378,-115.4304,-34.3334,11.3518,-9.719,-3.6172,-24.5966,-16.6428,-60.8024,-12.3896,-29.512
-8.361,-5.3,6.7936,-19.3078,1.1982,-16.8854,-14.9412,-13.137,-35.764,-73.9108,-53.5172,-18.131,-1.2558,-32.0804,-16.0548,-16.5424,-25.625,-42.7458,-14.7546,-3.1396,6.7154,-7.2594,-16.3714,-19.7446,-42.7524,-7.8124,-24.5164,-6.3676,-20.0256,-10.7232,-81.541,-26.4058,-7.481,-8.8596,-12.5286,0.236,-17.3114,-49.5072,-16.9314,-25.3476
-20.55,-2.2416,-23.3374,-5.8248,-4.7356,-7.1888,-8.8476,0.7886,-19.7248,-59.6672,-34.8154,5.3166,-2.8326,-27.4778,-3.5078,-3.1192,2.2692,-25.4416,-7.3272,-6.8604,-5.5752,-19.9666,-3.966,-19.9982,-33.1834,-6.603,-15.471,-12.7774,-8.9162,-6.1036,-63.3,-19.4318,9.3392,-5.5904,0.077,-1.2426,-11.2914,-28.9698,-5.6354,-16.3332
2.9334,0.2306,-6.0062,1.0516,-0.3894,-12.5932,-5.6478,15.6458,-17.3008,-33.2758,-28.1294,-5.1476,13.8462,-13.8028,3.304,-5.1288,-5.8328,-19.9604,-1.4886,-4.2562,4.4702,8.9332,-1.1,7.5518,-20.3618,0.5376,-9.6076,1.95,-5.262,5.4756,-48.8946,-8.2464,-2.9292,-1.5382,-10.6572,-2.4492,-13.3514,-20.406,-7.1688,-11.1262
10.8278,-8.5138,-10.2062,-6.4204,-7.7572,2.8652,7.5906,2.557,14.1294,71.7738,-5.9774,12.5834,6.7442,-1.275,19.0784,21.9922,22.0616,-12.5062,12.407,15.0646,9.369,-13.5334,14.9394,5.782,24.1904,16.6468,45.5596,12.0742,27.0332,9.011,43.5428,-9.7332,18.6682,18.9594,5.643,21.9148,2.2914,26.2098,6.5292,7
18.7278,7.3916,7.3938,17.7238,10.0714,-8.1416,6.5444,20.057,31.0722,120.9826,8.8896,17.3406,8.0154,-5.625,29.2,29.7018,29.2884,4.0334,19.1614,-1.4874,11.0496,10.2262,40.3144,37.3518,106.8668,21.8188,91.3418,17.4194,35.6924,20.0306,127.016,8.4058,5.2178,11.7784,-2.7686,43.4884,19.1456,51.6288,6.6876,37.5358
11.1722,-4.3862,-1.0686,20.6336,2.4608,20.7662,18.127,22.6884,69.5714,114.1064,13.8844,23.9048,2.1904,15.5026,32.8078,45.225,51.15,30.8854,32.8864,16.873,9.563,6.2976,34.484,26.0054,162.4334,16.3188,78.9568,21.6274,39.421,16.5414,169.6392,9.4144,18.9924,23.5524,12.7886,51.4262,31.6342,66.5024,14.021,61.4168
45.2388,-3.1556,21.9562,-2.5888,0.0106,11.146,6.9014,2.2772,31.4962,79.0686,9.9258,12.169,2.7904,-0.8556,16.4352,11.8558,20.5846,30.1458,15.2568,11.8626,6.9896,18.9262,24.959,27.393,147.3262,8.025,73.5166,20.9402,24.3752,15.2,137.243,21.0406,21.4432,11.1072,1.1,38.1114,29.5628,40.5758,13.6478,48.5428
-9.5,-2.425,16.0188,-3.2156,3.8304,4.9484,2.762,-6.7486,18.824,59.7256,14.9914,2.4238,-5.7654,-13.2306,3.745,12.2114,11.3386,15.725,3.3228,12.0312,-0.5052,1.3668,16.5894,22.4768,102.4118,1.4688,54.3772,11.6386,12.8754,2.8134,114.0196,-1.5304,-2.9088,4.1072,-1.3772,28.6426,17.0544,20.0506,0.9354,16.1858
