Points0,Points1,Points2,,intensity,filtered
138,385.3314528,110,,1071.8084,0
107,385.3314528,117,,1070.902,0
97,385.3314528,104,,910.0278,0
114,385.3314528,93,,896.4568,0.4688
121,385.3314528,75,,1033.5714,0
178,385.3314528,153,,733.9826,0
148,385.3314528,176,,706.5888,0
7,385.3314528,178,,1039.9724,2.4276
2,385.3314528,168,,1057.2464,0
17,385.3314528,116,,1165.6194,0
31,385.3314528,41,,1066.8062,0
116,385.3314528,146,,755.7228,3.109
118,385.3314528,17,,951.5168,0
149,385.3314528,38,,816.9588,0
194,385.3314528,154,,843.0358,0
55,385.3314528,167,,758.0252,4.8678
59,385.3314528,96,,1076.7982,0
83,385.3314528,119,,899.9738,2.0356
111,385.3314528,175,,703.978,0
81,385.3314528,156,,621.2986,0
97,385.3314528,59,,1171.134,0
27,385.3314528,142,,887.2668,0
80,385.3314528,66,,1102.0998,0
70,385.3314528,124,,788.9054,0
61,385.3314528,26,,902.5564,2.1912
139,385.3314528,58,,1061.6356,2.3468
137,385.3314528,163,,740.7,0
169,385.3314528,131,,719.0714,0
0,385.3314528,127,,1212.3902,0.505
68,385.3314528,66,,845.0744,4.1744
52,385.3314528,144,,855.3614,0
183,385.3314528,94,,685.8082,0
57,385.3314528,61,,996.9668,3.5832
94,384.203103,0,,1279.9556,0
174,384.203103,8,,916.6416,0
97,384.203103,5,,1205.1,0
103,384.203103,27,,1241.4114,0
143,384.203103,50,,1005.4696,0
163,384.203103,70,,953.1078,0
162,384.203103,95,,1149.2334,0
138,384.203103,110,,1064.9256,0
107,384.203103,117,,1072.663,1.761
97,384.203103,104,,901.5928,0
114,384.203103,93,,897.4792,1.0224
121,384.203103,75,,1033.9858,0.4144
178,384.203103,153,,726.0536,0
148,384.203103,176,,697.311,0
7,384.203103,178,,1039.5724,0
2,384.203103,168,,1053.729,0
17,384.203103,116,,1161.7308,0
31,384.203103,41,,1057.8644,0
116,384.203103,146,,751.8774,0
118,384.203103,17,,947.6958,0
149,384.203103,38,,810.5052,0
194,384.203103,154,,831.9286,0
55,384.203103,167,,755.8286,0
59,384.203103,96,,1083.8392,7.041
83,384.203103,119,,898.2238,0
111,384.203103,175,,696.703,0
81,384.203103,156,,617.901,0
97,384.203103,59,,1163.1406,0
27,384.203103,142,,887.1554,0
80,384.203103,66,,1093.1644,0
70,384.203103,124,,789.4734,0.568
61,384.203103,26,,898.1362,0
139,384.203103,58,,1054.2456,0
137,384.203103,163,,738.9666,0
169,384.203103,131,,712.617,0
0,384.203103,127,,1216.882,4.4918
68,384.203103,66,,842.1372,0
52,384.203103,144,,851.4566,0
183,384.203103,94,,679.7768,0
57,384.203103,61,,987.0144,0
94,383.0747532,0,,1276.9612,0
174,383.0747532,8,,907.1,0
97,383.0747532,5,,1197.0688,0
103,383.0747532,27,,1234.1416,0
143,383.0747532,50,,993.2392,0
163,383.0747532,70,,952.5078,0
162,383.0747532,95,,1146.111,0
138,383.0747532,110,,1058.8228,0
107,383.0747532,117,,1069.3172,0
97,383.0747532,104,,898.9066,0
114,383.0747532,93,,892.8206,0
121,383.0747532,75,,1034.188,0.2022
178,383.0747532,153,,708.7364,0
148,383.0747532,176,,691.4776,0
7,383.0747532,178,,1036.7862,0
2,383.0747532,168,,1055.406,1.677
17,383.0747532,116,,1153.6884,0
31,383.0747532,41,,1054.1728,0
