Points0,Points1,Points2,,intensity,filtered,timeframe,cell
17,28.81523272,116,,1161.7308,0,15,17
31,28.81523272,41,,1057.8644,0,15,18
116,28.81523272,146,,751.8774,0,15,19
118,28.81523272,17,,947.6958,0,15,20
149,28.81523272,38,,810.5052,0,15,21
194,28.81523272,154,,831.9286,0,15,22
55,28.81523272,167,,755.8286,0,15,23
59,28.81523272,96,,1083.8392,7.041,15,24
83,28.81523272,119,,898.2238,0,15,25
111,28.81523272,175,,696.703,0,15,26
81,28.81523272,156,,617.901,0,15,27
97,28.81523272,59,,1163.1406,0,15,28
27,28.81523272,142,,887.1554,0,15,29
80,28.81523272,66,,1093.1644,0,15,30
70,28.81523272,124,,789.4734,0.568,15,31
61,28.81523272,26,,898.1362,0,15,32
139,28.81523272,58,,1054.2456,0,15,33
137,28.81523272,163,,738.9666,0,15,34
169,28.81523272,131,,712.617,0,15,35
0,28.81523272,127,,1216.882,4.4918,15,36
68,28.81523272,66,,842.1372,0,15,37
52,28.81523272,144,,851.4566,0,15,38
183,28.81523272,94,,679.7768,0,15,39
57,28.81523272,61,,987.0144,0,15,40
94,28.73060649,0,,1276.9612,0,16,1
174,28.73060649,8,,907.1,0,16,2
97,28.73060649,5,,1197.0688,0,16,3
103,28.73060649,27,,1234.1416,0,16,4
143,28.73060649,50,,993.2392,0,16,5
163,28.73060649,70,,952.5078,0,16,6
162,28.73060649,95,,1146.111,0,16,7
138,28.73060649,110,,1058.8228,0,16,8
107,28.73060649,117,,1069.3172,0,16,9
97,28.73060649,104,,898.9066,0,16,10
114,28.73060649,93,,892.8206,0,16,11
121,28.73060649,75,,1034.188,0.2022,16,12
178,28.73060649,153,,708.7364,0,16,13
