Points0,Points1,Points2,,intensity,filtered,timeframe,cell,kmeans
118,68.7,17,,960.996,0,12,20,2
149,68.7,38,,830.138,3.7422,12,21,3
194,68.7,154,,862.881,0,12,22,1
55,68.7,167,,756.7002,7.009,12,23,1
59,68.7,96,,1081.0698,0,12,24,3
83,68.7,119,,913.0072,4.1142,12,25,1
111,68.7,175,,702.4718,5.3624,12,26,2
81,68.7,156,,627.6228,0,12,27,1
97,68.7,59,,1175.716,0,12,28,3
27,68.7,142,,896.4734,0,12,29,1
80,68.7,66,,1119.651,0,12,30,1
70,68.7,124,,790.7194,0,12,31,1
61,68.7,26,,902.8608,0,12,32,3
139,68.7,58,,1078.6128,0,12,33,1
137,68.7,163,,745.988,0,12,34,3
169,68.7,131,,730.4428,0,12,35,3
0,68.7,127,,1221.636,9.918,12,36,3
68,68.7,66,,856.5742,0,12,37,1
52,68.7,144,,859.6638,0,12,38,1
183,68.7,94,,698.0478,0,12,39,1
57,68.7,61,,1003.3264,0,12,40,1
94,68.5,0,,1285.8556,0,13,1,1
174,68.5,8,,938.9472,4.8916,13,2,1
97,68.5,5,,1222.1998,0,13,3,3
103,68.5,27,,1243.4474,2.7192,13,4,1
143,68.5,50,,1020.3984,0,13,5,2
163,68.5,70,,953.501,0,13,6,1
162,68.5,95,,1149.6288,1.7872,13,7,1
138,68.5,110,,1079.8942,0,13,8,1
107,68.5,117,,1071.9216,0,13,9,0
97,68.5,104,,915.0162,0,13,10,1
114,68.5,93,,895.988,0,13,11,1
121,68.5,75,,1044.1596,0,13,12,1
178,68.5,153,,737.8114,0,13,13,1
148,68.5,176,,716.8888,0,13,14,1
7,68.5,178,,1037.5448,0,13,15,1
2,68.5,168,,1059.9752,1.2,13,16,0
17,68.5,116,,1166.8886,0,13,17,1
31,68.5,41,,1070.1666,0,13,18,1
116,68.5,146,,752.6138,0,13,19,1
118,68.5,17,,951.871,0,13,20,2
149,68.5,38,,825.266,0,13,21,1
194,68.5,154,,848.2048,0,13,22,0
55,68.5,167,,753.1574,0,13,23,1
59,68.5,96,,1082.9304,1.8606,13,24,2
83,68.5,119,,897.9382,0,13,25,1
111,68.5,175,,705.903,3.4312,13,26,1
81,68.5,156,,625.6328,0,13,27,1
97,68.5,59,,1176.1016,0.3856,13,28,2
27,68.5,142,,891.9972,0,13,29,1
80,68.5,66,,1112.562,0,13,30,1
70,68.5,124,,792.0642,1.3448,13,31,1
61,68.5,26,,900.3652,0,13,32,2
139,68.5,58,,1059.2888,0,13,33,2
137,68.5,163,,741.0238,0,13,34,3
169,68.5,131,,729.3284,0,13,35,2
0,68.5,127,,1211.8852,0,13,36,1
68,68.5,66,,840.9,0,13,37,1
52,68.5,144,,858.9554,0,13,38,1
183,68.5,94,,691.7812,0,13,39,1
57,68.5,61,,993.3836,0,13,40,1
94,68.3,0,,1286.6612,0.8056,14,1,2
174,68.3,8,,926.4056,0,14,2,1
97,68.3,5,,1225.9748,3.775,14,3,3
103,68.3,27,,1242.899,0,14,4,2
143,68.3,50,,1009.5126,0,14,5,1
163,68.3,70,,953.4538,0,14,6,1
162,68.3,95,,1150.935,1.3062,14,7,3
138,68.3,110,,1071.8084,0,14,8,1
107,68.3,117,,1070.902,0,14,9,1
97,68.3,104,,910.0278,0,14,10,2
114,68.3,93,,896.4568,0.4688,14,11,1
121,68.3,75,,1033.5714,0,14,12,1
178,68.3,153,,733.9826,0,14,13,2
148,68.3,176,,706.5888,0,14,14,3
7,68.3,178,,1039.9724,2.4276,14,15,1
2,68.3,168,,1057.2464,0,14,16,3
17,68.3,116,,1165.6194,0,14,17,1
31,68.3,41,,1066.8062,0,14,18,1
116,68.3,146,,755.7228,3.109,14,19,1
118,68.3,17,,951.5168,0,14,20,1
149,68.3,38,,816.9588,0,14,21,1
194,68.3,154,,843.0358,0,14,22,3
55,68.3,167,,758.0252,4.8678,14,23,1
59,68.3,96,,1076.7982,0,14,24,0
83,68.3,119,,899.9738,2.0356,14,25,1
111,68.3,175,,703.978,0,14,26,1
81,68.3,156,,621.2986,0,14,27,1
97,68.3,59,,1171.134,0,14,28,2
27,68.3,142,,887.2668,0,14,29,1
